Date : 2024-01-08 02:31:22
Directory : d:\ReactProjects\EcoFarm_FE
Total : 177 files,  20863 codes, 939 comments, 1537 blanks, all 23339 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\config\reducers\enterprise                                                       |          1 |         21 |          0 |          4 |         25 |
| src\config\reducers\orders                                                           |          1 |         22 |          0 |          4 |         26 |
| src\config\reducers\package                                                          |          1 |         16 |          2 |          4 |         22 |
| src\config\reducers\packageReviews                                                   |          1 |         18 |          0 |          3 |         21 |
| src\config\reducers\packages                                                         |          1 |         23 |          0 |          4 |         27 |
| src\config\reducers\products                                                         |          1 |         25 |          0 |          4 |         29 |
| src\config\reducers\signalr                                                          |          1 |          0 |          6 |          2 |          8 |
| src\config\schema                                                                    |          6 |        241 |         18 |         27 |        286 |
| src\hooks                                                                            |         34 |        776 |         37 |         84 |        897 |
| src\hooks\auth                                                                       |          1 |         16 |          0 |          4 |         20 |
| src\hooks\mutations                                                                  |         18 |        516 |         23 |         27 |        566 |
| src\hooks\mutations (Files)                                                          |          3 |         98 |          8 |          9 |        115 |
| src\hooks\mutations\accounts                                                         |          1 |         32 |          0 |          1 |         33 |
| src\hooks\mutations\activities                                                       |          1 |         30 |          0 |          1 |         31 |
| src\hooks\mutations\address                                                          |          2 |         60 |          2 |          2 |         64 |
| src\hooks\mutations\cart                                                             |          2 |         44 |          6 |          4 |         54 |
| src\hooks\mutations\orders                                                           |          2 |         56 |          2 |          3 |         61 |
| src\hooks\mutations\packages                                                         |          6 |        164 |          4 |          6 |        174 |
| src\hooks\mutations\products                                                         |          1 |         32 |          1 |          1 |         34 |
| src\hooks\queries                                                                    |         12 |        237 |          6 |         46 |        289 |
| src\hooks\redux                                                                      |          2 |          7 |          1 |          4 |         12 |
| src\hooks\signalr                                                                    |          1 |          0 |          7 |          3 |         10 |
| src\layouts                                                                          |          6 |        321 |          6 |         18 |        345 |
| src\layouts\auth                                                                     |          1 |         17 |          0 |          2 |         19 |
| src\layouts\common                                                                   |          3 |        174 |          3 |          8 |        185 |
| src\layouts\common (Files)                                                           |          2 |        118 |          3 |          6 |        127 |
| src\layouts\common\component                                                         |          1 |         56 |          0 |          2 |         58 |
| src\layouts\seller                                                                   |          2 |        130 |          3 |          8 |        141 |
| src\models                                                                           |         14 |        350 |          3 |         50 |        403 |
| src\models (Files)                                                                   |         11 |        279 |          2 |         41 |        322 |
| src\models\helpers                                                                   |          3 |         71 |          1 |          9 |         81 |
| src\pages                                                                            |         28 |      4,582 |        644 |        215 |      5,441 |
| src\pages (Files)                                                                    |          1 |         33 |          1 |          5 |         39 |
| src\pages\auth                                                                       |          3 |        674 |          3 |         32 |        709 |
| src\pages\auth\forgot-password                                                       |          1 |        147 |          0 |         10 |        157 |
| src\pages\auth\login                                                                 |          1 |        172 |          1 |          7 |        180 |
| src\pages\auth\sign-up                                                               |          1 |        355 |          2 |         15 |        372 |
| src\pages\cart                                                                       |          1 |        256 |          9 |          8 |        273 |
| src\pages\chat                                                                       |          1 |         74 |         22 |          6 |        102 |
| src\pages\error                                                                      |          1 |         19 |          1 |          2 |         22 |
| src\pages\homepage                                                                   |          1 |         19 |          0 |          6 |         25 |
| src\pages\packages                                                                   |          2 |        622 |         73 |         22 |        717 |
| src\pages\packages (Files)                                                           |          1 |        260 |         34 |         10 |        304 |
| src\pages\packages\[packageId]                                                       |          1 |        362 |         39 |         12 |        413 |
| src\pages\products                                                                   |          2 |        456 |        137 |         16 |        609 |
| src\pages\products (Files)                                                           |          1 |        213 |         29 |          7 |        249 |
| src\pages\products\[productId]                                                       |          1 |        243 |        108 |          9 |        360 |
| src\pages\seller                                                                     |         11 |      1,912 |        342 |         95 |      2,349 |
| src\pages\seller (Files)                                                             |          1 |         17 |          0 |          3 |         20 |
| src\pages\seller\orders                                                              |          2 |        440 |         53 |         21 |        514 |
| src\pages\seller\packages                                                            |          4 |        970 |        111 |         41 |      1,122 |
| src\pages\seller\packages (Files)                                                    |          1 |        135 |         18 |          9 |        162 |
| src\pages\seller\packages\[packageId]                                                |          2 |        614 |         54 |         27 |        695 |
| src\pages\seller\packages\[packageId] (Files)                                        |          1 |        410 |         48 |         19 |        477 |
| src\pages\seller\packages\[packageId]\update                                         |          1 |        204 |          6 |          8 |        218 |
| src\pages\seller\packages\create                                                     |          1 |        221 |         39 |          5 |        265 |
| src\pages\seller\products                                                            |          3 |        466 |        178 |         26 |        670 |
| src\pages\seller\products (Files)                                                    |          2 |        335 |         57 |         18 |        410 |
| src\pages\seller\products\[productId]                                                |          1 |        131 |        121 |          8 |        260 |
| src\pages\seller\stats                                                               |          1 |         19 |          0 |          4 |         23 |
| src\pages\test                                                                       |          1 |         56 |         14 |          2 |         72 |
| src\pages\test\chat                                                                  |          1 |         56 |         14 |          2 |         72 |
| src\pages\user                                                                       |          4 |        461 |         42 |         21 |        524 |
| src\pages\user\profile                                                               |          4 |        461 |         42 |         21 |        524 |
| src\styles                                                                           |          1 |          5 |          0 |          2 |          7 |
| src\utils                                                                            |          8 |        213 |         17 |         37 |        267 |
| src\utils\constants                                                                  |          4 |        131 |         16 |         21 |        168 |
| src\utils\helpers                                                                    |          4 |         82 |          1 |         16 |         99 |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                             | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\ReactProjects\EcoFarm_FE\.eslintrc.cjs                                            | JavaScript         |         34 |          1 |          2 |         37 |
| d:\ReactProjects\EcoFarm_FE\README.md                                                | Markdown           |         15 |          0 |          4 |         19 |
| d:\ReactProjects\EcoFarm_FE\cspell.config.yaml                                       | YAML               |         35 |          0 |          3 |         38 |
| d:\ReactProjects\EcoFarm_FE\i18next-parser.config.js                                 | JavaScript         |         42 |         57 |         25 |        124 |
| d:\ReactProjects\EcoFarm_FE\next-i18next.config.mjs                                  | JavaScript         |         16 |          1 |          2 |         19 |
| d:\ReactProjects\EcoFarm_FE\next.config.mjs                                          | JavaScript         |         19 |          5 |          3 |         27 |
| d:\ReactProjects\EcoFarm_FE\package.json                                             | JSON               |         88 |          0 |          1 |         89 |
| d:\ReactProjects\EcoFarm_FE\pnpm-lock.yaml                                           | YAML               |      6,389 |          0 |        809 |      7,198 |
| d:\ReactProjects\EcoFarm_FE\postcss.config.cjs                                       | JavaScript         |         17 |          0 |          2 |         19 |
| d:\ReactProjects\EcoFarm_FE\prettier.config.js                                       | JavaScript         |         11 |          1 |          2 |         14 |
| d:\ReactProjects\EcoFarm_FE\public\assets\brands\EcoFarm.svg                         | XML                |         26 |          0 |          1 |         27 |
| d:\ReactProjects\EcoFarm_FE\public\assets\icons\empty-notif.svg                      | XML                |      5,855 |          1 |         45 |      5,901 |
| d:\ReactProjects\EcoFarm_FE\public\locales\en\auth.json                              | JSON               |         45 |          0 |          1 |         46 |
| d:\ReactProjects\EcoFarm_FE\public\locales\en\common.json                            | JSON               |         23 |          0 |          1 |         24 |
| d:\ReactProjects\EcoFarm_FE\public\locales\en\error.json                             | JSON               |         11 |          0 |          1 |         12 |
| d:\ReactProjects\EcoFarm_FE\public\locales\en\farm-package-review.json               | JSON               |          6 |          0 |          1 |          7 |
| d:\ReactProjects\EcoFarm_FE\public\locales\en\farm-package.json                      | JSON               |         16 |          0 |          1 |         17 |
| d:\ReactProjects\EcoFarm_FE\public\locales\en\product.json                           | JSON               |          3 |          0 |          1 |          4 |
| d:\ReactProjects\EcoFarm_FE\public\locales\en\select.json                            | JSON               |          8 |          0 |          1 |          9 |
| d:\ReactProjects\EcoFarm_FE\public\locales\vi\auth.json                              | JSON               |         45 |          0 |          1 |         46 |
| d:\ReactProjects\EcoFarm_FE\public\locales\vi\common.json                            | JSON               |         23 |          0 |          1 |         24 |
| d:\ReactProjects\EcoFarm_FE\public\locales\vi\error.json                             | JSON               |         11 |          0 |          1 |         12 |
| d:\ReactProjects\EcoFarm_FE\public\locales\vi\farm-package-review.json               | JSON               |          6 |          0 |          1 |          7 |
| d:\ReactProjects\EcoFarm_FE\public\locales\vi\farm-package.json                      | JSON               |         16 |          0 |          1 |         17 |
| d:\ReactProjects\EcoFarm_FE\public\locales\vi\product.json                           | JSON               |          3 |          0 |          1 |          4 |
| d:\ReactProjects\EcoFarm_FE\public\locales\vi\select.json                            | JSON               |          8 |          0 |          1 |          9 |
| d:\ReactProjects\EcoFarm_FE\src\@types\i18next.d.ts                                  | TypeScript         |          7 |          0 |          2 |          9 |
| d:\ReactProjects\EcoFarm_FE\src\@types\index.d.ts                                    | TypeScript         |          0 |          1 |          0 |          1 |
| d:\ReactProjects\EcoFarm_FE\src\@types\resources.d.ts                                | TypeScript         |        115 |          0 |          2 |        117 |
| d:\ReactProjects\EcoFarm_FE\src\components\features\navbar\DropdownUser.tsx          | TypeScript JSX     |         98 |         39 |          2 |        139 |
| d:\ReactProjects\EcoFarm_FE\src\components\features\navbar\MessageUser.tsx           | TypeScript JSX     |          9 |          0 |          2 |         11 |
| d:\ReactProjects\EcoFarm_FE\src\components\features\navbar\Notification.tsx          | TypeScript JSX     |         35 |          3 |          2 |         40 |
| d:\ReactProjects\EcoFarm_FE\src\components\providers\ReactQueryProvider.tsx          | TypeScript JSX     |         55 |          0 |          2 |         57 |
| d:\ReactProjects\EcoFarm_FE\src\components\providers\ReduxProvider.tsx               | TypeScript JSX     |          6 |          0 |          2 |          8 |
| d:\ReactProjects\EcoFarm_FE\src\components\providers\SignalRProvider.tsx             | TypeScript JSX     |         34 |         10 |          4 |         48 |
| d:\ReactProjects\EcoFarm_FE\src\components\providers\ToastProvider.tsx               | TypeScript JSX     |         14 |          0 |          2 |         16 |
| d:\ReactProjects\EcoFarm_FE\src\components\providers\UiProvider.tsx                  | TypeScript JSX     |         19 |          0 |          2 |         21 |
| d:\ReactProjects\EcoFarm_FE\src\components\providers\index.tsx                       | TypeScript JSX     |         26 |          0 |          2 |         28 |
| d:\ReactProjects\EcoFarm_FE\src\components\ui\calendar\index.tsx                     | TypeScript JSX     |         81 |          0 |          4 |         85 |
| d:\ReactProjects\EcoFarm_FE\src\components\ui\datepicker\index.tsx                   | TypeScript JSX     |         26 |          0 |          3 |         29 |
| d:\ReactProjects\EcoFarm_FE\src\components\ui\dropdown\index.tsx                     | TypeScript JSX     |         18 |          0 |          3 |         21 |
| d:\ReactProjects\EcoFarm_FE\src\components\ui\form\index.tsx                         | TypeScript JSX     |        180 |          0 |         14 |        194 |
| d:\ReactProjects\EcoFarm_FE\src\components\ui\overlay\DefaultOverlay.tsx             | TypeScript JSX     |         12 |          0 |          2 |         14 |
| d:\ReactProjects\EcoFarm_FE\src\components\ui\personalInfo\UserInfo.tsx              | TypeScript JSX     |         38 |         30 |          5 |         73 |
| d:\ReactProjects\EcoFarm_FE\src\components\ui\popover\index.tsx                      | TypeScript JSX     |         15 |          0 |          3 |         18 |
| d:\ReactProjects\EcoFarm_FE\src\components\ui\ratings\index.tsx                      | TypeScript JSX     |         23 |          0 |          2 |         25 |
| d:\ReactProjects\EcoFarm_FE\src\components\ui\switch\SwitchLocale.tsx                | TypeScript JSX     |         27 |          1 |          3 |         31 |
| d:\ReactProjects\EcoFarm_FE\src\components\ui\switch\SwitchTheme.tsx                 | TypeScript JSX     |         30 |          2 |          5 |         37 |
| d:\ReactProjects\EcoFarm_FE\src\components\ui\texts\TextTitle.tsx                    | TypeScript JSX     |          7 |          0 |          2 |          9 |
| d:\ReactProjects\EcoFarm_FE\src\config\apis\account\index.ts                         | TypeScript         |         17 |          0 |          4 |         21 |
| d:\ReactProjects\EcoFarm_FE\src\config\apis\activity\index.ts                        | TypeScript         |         13 |          0 |          2 |         15 |
| d:\ReactProjects\EcoFarm_FE\src\config\apis\address\index.ts                         | TypeScript         |         21 |          0 |          4 |         25 |
| d:\ReactProjects\EcoFarm_FE\src\config\apis\authentication\index.ts                  | TypeScript         |         28 |          0 |          5 |         33 |
| d:\ReactProjects\EcoFarm_FE\src\config\apis\cart\index.ts                            | TypeScript         |         13 |          0 |          3 |         16 |
| d:\ReactProjects\EcoFarm_FE\src\config\apis\enterprise\index.ts                      | TypeScript         |          7 |          0 |          1 |          8 |
| d:\ReactProjects\EcoFarm_FE\src\config\apis\orders\index.ts                          | TypeScript         |         15 |          0 |          3 |         18 |
| d:\ReactProjects\EcoFarm_FE\src\config\apis\packageReviews\index.ts                  | TypeScript         |         13 |          0 |          2 |         15 |
| d:\ReactProjects\EcoFarm_FE\src\config\apis\packages\index.ts                        | TypeScript         |         32 |          5 |         12 |         49 |
| d:\ReactProjects\EcoFarm_FE\src\config\apis\products\index.ts                        | TypeScript         |         13 |          0 |          2 |         15 |
| d:\ReactProjects\EcoFarm_FE\src\config\apis\user\index.tsx                           | TypeScript JSX     |          6 |          0 |          3 |          9 |
| d:\ReactProjects\EcoFarm_FE\src\config\lib\axiosConfig.ts                            | TypeScript         |         74 |          7 |          8 |         89 |
| d:\ReactProjects\EcoFarm_FE\src\config\lib\fonts.ts                                  | TypeScript         |         16 |          0 |          5 |         21 |
| d:\ReactProjects\EcoFarm_FE\src\config\lib\signalRConfig.ts                          | TypeScript         |         23 |          8 |          3 |         34 |
| d:\ReactProjects\EcoFarm_FE\src\config\lib\store.ts                                  | TypeScript         |         11 |          3 |          6 |         20 |
| d:\ReactProjects\EcoFarm_FE\src\config\reducers\activity\index.ts                    | TypeScript         |         21 |          0 |          4 |         25 |
| d:\ReactProjects\EcoFarm_FE\src\config\reducers\address\index.ts                     | TypeScript         |         19 |          0 |          4 |         23 |
| d:\ReactProjects\EcoFarm_FE\src\config\reducers\auth\index.ts                        | TypeScript         |         14 |          0 |          4 |         18 |
| d:\ReactProjects\EcoFarm_FE\src\config\reducers\enterprise\index.ts                  | TypeScript         |         21 |          0 |          4 |         25 |
| d:\ReactProjects\EcoFarm_FE\src\config\reducers\index.ts                             | TypeScript         |         22 |          1 |          3 |         26 |
| d:\ReactProjects\EcoFarm_FE\src\config\reducers\orders\index.ts                      | TypeScript         |         22 |          0 |          4 |         26 |
| d:\ReactProjects\EcoFarm_FE\src\config\reducers\packageReviews\index.ts              | TypeScript         |         18 |          0 |          3 |         21 |
| d:\ReactProjects\EcoFarm_FE\src\config\reducers\package\index.ts                     | TypeScript         |         16 |          2 |          4 |         22 |
| d:\ReactProjects\EcoFarm_FE\src\config\reducers\packages\index.ts                    | TypeScript         |         23 |          0 |          4 |         27 |
| d:\ReactProjects\EcoFarm_FE\src\config\reducers\products\index.ts                    | TypeScript         |         25 |          0 |          4 |         29 |
| d:\ReactProjects\EcoFarm_FE\src\config\reducers\signalr\index.ts                     | TypeScript         |          0 |          6 |          2 |          8 |
| d:\ReactProjects\EcoFarm_FE\src\config\schema\account.ts                             | TypeScript         |         11 |          1 |          3 |         15 |
| d:\ReactProjects\EcoFarm_FE\src\config\schema\address.ts                             | TypeScript         |         14 |          0 |          2 |         16 |
| d:\ReactProjects\EcoFarm_FE\src\config\schema\cart.ts                                | TypeScript         |          0 |          5 |          2 |          7 |
| d:\ReactProjects\EcoFarm_FE\src\config\schema\index.ts                               | TypeScript         |        177 |         11 |         16 |        204 |
| d:\ReactProjects\EcoFarm_FE\src\config\schema\order.ts                               | TypeScript         |         17 |          0 |          2 |         19 |
| d:\ReactProjects\EcoFarm_FE\src\config\schema\product.ts                             | TypeScript         |         22 |          1 |          2 |         25 |
| d:\ReactProjects\EcoFarm_FE\src\env.js                                               | JavaScript         |         21 |         21 |          4 |         46 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\auth\useAuth.tsx                               | TypeScript JSX     |         16 |          0 |          4 |         20 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\accounts\useChangePassword.tsx       | TypeScript JSX     |         32 |          0 |          1 |         33 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\activities\useCreateActivity.tsx     | TypeScript JSX     |         30 |          0 |          1 |         31 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\address\useCreateAddress.tsx         | TypeScript JSX     |         30 |          1 |          1 |         32 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\address\useDeleteAddress.tsx         | TypeScript JSX     |         30 |          1 |          1 |         32 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\cart\useAddNewProduct.tsx            | TypeScript JSX     |         24 |          1 |          2 |         27 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\cart\useRemoveFromCart.tsx           | TypeScript JSX     |         20 |          5 |          2 |         27 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\orders\useApproveOrder.tsx           | TypeScript JSX     |         28 |          0 |          1 |         29 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\orders\useCreateOrder.tsx            | TypeScript JSX     |         28 |          2 |          2 |         32 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\packages\useCloseRegisterPackage.tsx | TypeScript JSX     |         28 |          0 |          1 |         29 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\packages\useCreatePackage.tsx        | TypeScript JSX     |         26 |          2 |          1 |         29 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\packages\useEndPackage.tsx           | TypeScript JSX     |         28 |          0 |          1 |         29 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\packages\useRegisterPackage.tsx      | TypeScript JSX     |         28 |          0 |          1 |         29 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\packages\useStartPackage.tsx         | TypeScript JSX     |         28 |          0 |          1 |         29 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\packages\useUpdatePackage.tsx        | TypeScript JSX     |         26 |          2 |          1 |         29 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\products\useCreateProduct.tsx        | TypeScript JSX     |         32 |          1 |          1 |         34 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\useCheckEmail.tsx                    | TypeScript JSX     |         13 |          0 |          2 |         15 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\useCreatePackageReview.tsx           | TypeScript JSX     |         27 |          0 |          1 |         28 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\mutations\useSignIn.tsx                        | TypeScript JSX     |         58 |          8 |          6 |         72 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\queries\useCheckTaxCode.tsx                    | TypeScript JSX     |         31 |          0 |          5 |         36 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\queries\useFetchActivities.tsx                 | TypeScript JSX     |         21 |          0 |          5 |         26 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\queries\useFetchAddresses.tsx                  | TypeScript JSX     |         22 |          1 |          4 |         27 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\queries\useFetchEnterprises.tsx                | TypeScript JSX     |         21 |          0 |          4 |         25 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\queries\useFetchOrders.tsx                     | TypeScript JSX     |         21 |          0 |          4 |         25 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\queries\useFetchPackage.tsx                    | TypeScript JSX     |         20 |          1 |          5 |         26 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\queries\useFetchPackageReviews.tsx             | TypeScript JSX     |         26 |          1 |          4 |         31 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\queries\useFetchProducts.tsx                   | TypeScript JSX     |         22 |          2 |          5 |         29 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\queries\useFetchSinglePackage.tsx              | TypeScript JSX     |         19 |          0 |          2 |         21 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\queries\useGetMyAccountInfo.tsx                | TypeScript JSX     |         11 |          0 |          2 |         13 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\queries\useGetMyShoppingCart.tsx               | TypeScript JSX     |         13 |          1 |          3 |         17 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\queries\useGetUserInfo.tsx                     | TypeScript JSX     |         10 |          0 |          3 |         13 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\redux\useAppDispatch.tsx                       | TypeScript JSX     |          3 |          0 |          2 |          5 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\redux\useAppSelector.tsx                       | TypeScript JSX     |          4 |          1 |          2 |          7 |
| d:\ReactProjects\EcoFarm_FE\src\hooks\signalr\useNotificationHubConnection.tsx       | TypeScript JSX     |          0 |          7 |          3 |         10 |
| d:\ReactProjects\EcoFarm_FE\src\layouts\auth\index.tsx                               | TypeScript JSX     |         17 |          0 |          2 |         19 |
| d:\ReactProjects\EcoFarm_FE\src\layouts\common\component\SidebarMenu.tsx             | TypeScript JSX     |         56 |          0 |          2 |         58 |
| d:\ReactProjects\EcoFarm_FE\src\layouts\common\header.tsx                            | TypeScript JSX     |        104 |          3 |          3 |        110 |
| d:\ReactProjects\EcoFarm_FE\src\layouts\common\main.tsx                              | TypeScript JSX     |         14 |          0 |          3 |         17 |
| d:\ReactProjects\EcoFarm_FE\src\layouts\seller\header.tsx                            | TypeScript JSX     |        116 |          3 |          5 |        124 |
| d:\ReactProjects\EcoFarm_FE\src\layouts\seller\sellerLayout.tsx                      | TypeScript JSX     |         14 |          0 |          3 |         17 |
| d:\ReactProjects\EcoFarm_FE\src\middleware.ts                                        | TypeScript         |         49 |          2 |          3 |         54 |
| d:\ReactProjects\EcoFarm_FE\src\models\account.model.ts                              | TypeScript         |         16 |          0 |          2 |         18 |
| d:\ReactProjects\EcoFarm_FE\src\models\activity.model.ts                             | TypeScript         |         28 |          0 |          4 |         32 |
| d:\ReactProjects\EcoFarm_FE\src\models\address.model.ts                              | TypeScript         |         17 |          0 |          3 |         20 |
| d:\ReactProjects\EcoFarm_FE\src\models\cart.model.ts                                 | TypeScript         |         16 |          0 |          5 |         21 |
| d:\ReactProjects\EcoFarm_FE\src\models\common.model.ts                               | TypeScript         |          0 |          0 |          1 |          1 |
| d:\ReactProjects\EcoFarm_FE\src\models\enterprise.model.ts                           | TypeScript         |         18 |          0 |          4 |         22 |
| d:\ReactProjects\EcoFarm_FE\src\models\helpers\personal-tax.model.ts                 | TypeScript         |         47 |          1 |          5 |         53 |
| d:\ReactProjects\EcoFarm_FE\src\models\helpers\query.model.ts                        | TypeScript         |          7 |          0 |          1 |          8 |
| d:\ReactProjects\EcoFarm_FE\src\models\helpers\response.model.ts                     | TypeScript         |         17 |          0 |          3 |         20 |
| d:\ReactProjects\EcoFarm_FE\src\models\order.model.ts                                | TypeScript         |         41 |          0 |          6 |         47 |
| d:\ReactProjects\EcoFarm_FE\src\models\package.model.ts                              | TypeScript         |         62 |          0 |          5 |         67 |
| d:\ReactProjects\EcoFarm_FE\src\models\packageReview.model.ts                        | TypeScript         |         20 |          0 |          2 |         22 |
| d:\ReactProjects\EcoFarm_FE\src\models\product.model.ts                              | TypeScript         |         39 |          2 |          4 |         45 |
| d:\ReactProjects\EcoFarm_FE\src\models\user.model.ts                                 | TypeScript         |         22 |          0 |          5 |         27 |
| d:\ReactProjects\EcoFarm_FE\src\pages\_app.tsx                                       | TypeScript JSX     |         33 |          1 |          5 |         39 |
| d:\ReactProjects\EcoFarm_FE\src\pages\auth\forgot-password\index.tsx                 | TypeScript JSX     |        147 |          0 |         10 |        157 |
